text,intent_name
adios,despedida
buenas noches,despedida
nos vemos luego,despedida
que tengas buen dia,despedida
chau,despedida
hasta luego,despedida
nos vemos,despedida
te veo luego,despedida
hasta luego Aerito,despedida
hasta luego que tengas buen dia,despedida
adios que tenga lindo dia,despedida
nos vemos aerito,despedida
Adios aerito,despedida
nos vemos pronto,despedida
adiós fue un placer hablar contigo,despedida
ya me tengo que ir gracias por la ayuda,despedida
"ok, chau",despedida
"ok, adios",despedida
"ok, hasta pronto",despedida
bye,despedida
"ok, bye",despedida
"ok, buenas noches",despedida
gracias por la ayuda hasta luego,despedida
hasta pronto,despedida
adios,despedida
chau nos vemos,despedida
nos vemos chau,despedida
"OK HASTA LUEGO,",despedida
no vemos pronto,despedida
cuidate nos vemos,despedida
hasta luego,despedida
que tengas buen dia hasta luego,despedida
buenas,saludo
Hola,saludo
buenos dias,saludo
buenas noches,saludo
hola que tal amigo,saludo
que tal,saludo
buenas tardes,saludo
Buenas tardes,saludo
Hola Aerito,saludo
Buenos dias Aerito,saludo
Buenos tardes Aerito,saludo
Buenos noches Aerito,saludo
Oye,saludo
hola que tal,saludo
hola Aerito,saludo
hola amigo,saludo
hola que tal Aerito,saludo
Hi,saludo
Holis,saludo
Holaeeeeeeeeeeee,saludo
buen díaq,saludo
oye aerito,saludo
Hola de nuevo,saludo
como vas,saludo
hi,saludo
oye bot,saludo
que tal como andas,saludo
hola que tal,saludo
que tal aerito,saludo
holas,saludo
olis,saludo
que tal,saludo
que tal amigo,saludo
que onda,saludo
como vas amigo,saludo
no nada mas gracias,denegar_mas_ayuda
ninguna duda mas,denegar_mas_ayuda
No eso es todo gracias,denegar_mas_ayuda
No nada mas,denegar_mas_ayuda
No nada mas gracias,denegar_mas_ayuda
eso es todo gracias,denegar_mas_ayuda
no gracias es todo,denegar_mas_ayuda
no tengo mas dudas,denegar_mas_ayuda
"eso es todo, gracias",denegar_mas_ayuda
es todo gracias,denegar_mas_ayuda
No. Gracias,denegar_mas_ayuda
No,denegar_mas_ayuda
"No, eso seria todo gracias",denegar_mas_ayuda
No gracias,denegar_mas_ayuda
"Por ahora eso es todo, gracias",denegar_mas_ayuda
"no, gracias",denegar_mas_ayuda
"No eso seria todo, muchas gracias",denegar_mas_ayuda
No muchas gracias,denegar_mas_ayuda
no nada mas,denegar_mas_ayuda
No eso seria todo gracias,denegar_mas_ayuda
nada mas,denegar_mas_ayuda
No eso es todo,denegar_mas_ayuda
Eso es todo,denegar_mas_ayuda
eso es todo por ahora aerito gracias,denegar_mas_ayuda
no ya no tengo mas consultas,denegar_mas_ayuda
no por ahora,denegar_mas_ayuda
nope,denegar_mas_ayuda
no deseo nada mas,denegar_mas_ayuda
no eso fue lo ultimo,denegar_mas_ayuda
no es todo que tenga buen dia,denegar_mas_ayuda
no gracias por la ayuda,denegar_mas_ayuda
no eso es todo gracias por la ayuda,denegar_mas_ayuda
"no eso fue todo, buenas noches",denegar_mas_ayuda
por el momento es todo gracias,denegar_mas_ayuda
eso fue todo gracias,denegar_mas_ayuda
no nada mas eso es todo,denegar_mas_ayuda
no por el momento,denegar_mas_ayuda
no es todo lo que queria,denegar_mas_ayuda
no ya no tengo mas dudas,denegar_mas_ayuda
Si tengo otra consulta,confirmar_requerir_mas_ayuda
Si claro,confirmar_requerir_mas_ayuda
Si tengo otra duda mas,confirmar_requerir_mas_ayuda
si una duda mas,confirmar_requerir_mas_ayuda
si,confirmar_requerir_mas_ayuda
si tenga una consulta,confirmar_requerir_mas_ayuda
si una mas,confirmar_requerir_mas_ayuda
si tengo otra consulta mas,confirmar_requerir_mas_ayuda
si una consulta mas,confirmar_requerir_mas_ayuda
tengo otra duda,confirmar_requerir_mas_ayuda
tengo otra consulta,confirmar_requerir_mas_ayuda
si por favor,confirmar_requerir_mas_ayuda
si algo mas,confirmar_requerir_mas_ayuda
si otra consulta,confirmar_requerir_mas_ayuda
una mas,confirmar_requerir_mas_ayuda
otra consulta,confirmar_requerir_mas_ayuda
otra duda,confirmar_requerir_mas_ayuda
si me puedes decir,confirmar_requerir_mas_ayuda
si me puedes ayudar con esto,confirmar_requerir_mas_ayuda
si por favor tengo esta otra duda,confirmar_requerir_mas_ayuda
si hay algo mas con lo que puedes ayudar,confirmar_requerir_mas_ayuda
una duda mas,confirmar_requerir_mas_ayuda
hay otra consulta que tengo,confirmar_requerir_mas_ayuda
una consulta mas por favor,confirmar_requerir_mas_ayuda
una ultima consulta,confirmar_requerir_mas_ayuda
una consulta mas porfavor,confirmar_requerir_mas_ayuda
si una mas porfavor,confirmar_requerir_mas_ayuda
si otra mas,confirmar_requerir_mas_ayuda
otra mas porfavor,confirmar_requerir_mas_ayuda
si una duda mas porfa,confirmar_requerir_mas_ayuda
si otro duda mas,confirmar_requerir_mas_ayuda
si una mas porfavor,confirmar_requerir_mas_ayuda
si porfa,confirmar_requerir_mas_ayuda
si algunas mas,confirmar_requerir_mas_ayuda
si tengo otras,confirmar_requerir_mas_ayuda
¿Cuál es el modelo para la solicitud?,formato_solicitud
donde encuentro un modelo para la solicitud?,formato_solicitud
Dónde está el modelo de solicitud?,formato_solicitud
una consulta hay algun modelo para la solicitud,formato_solicitud
una duda porfavor existe algun modelo o formato para la solicitud,formato_solicitud
existe alguna modelo para la solicitud,formato_solicitud
donde puedo encontrar un modelo,formato_solicitud
hay algun formato o modelo,formato_solicitud
si hay algun formato para la solicitud que debo enviar,formato_solicitud
cual es el formato para la solicitud,formato_solicitud
que formato debe tener la solicitud,formato_solicitud
necesito un modelo para esa solicitud,formato_solicitud
que debo poner en la solicitud,formato_solicitud
necesito un modelo para la solicitud que debo enviar a mesa de partes,formato_solicitud
que datos debo colocar en la solicitud,formato_solicitud
que informacion debe ir en la solicitud,formato_solicitud
la solicitud debe estar dirigida al decano?,formato_solicitud
debo colocar mi codigo y mi dni en la solicitud,formato_solicitud
hay algun modelo a seguir para redactar la solicitud que debo enviar,formato_solicitud
que formato debo seguir para redactar la solicitud,formato_solicitud
a quien le puedo pedir un modelo para la solicitud,formato_solicitud
la solicitud tiene un formato especial?,formato_solicitud
que modelo debe seguir la solicitud?,formato_solicitud
mi otra duda es que datos debo colocar en la solicitud o si hay algun formato me ayudaria,formato_solicitud
porfavor enviame tambien el modelo para la solicitud,formato_solicitud
tambien quisiera que me envie el modelo si hay para la solicitud,formato_solicitud
como puedo conseguir un modelo para la solicitud,formato_solicitud
necesito un modelo para esa solicitud,formato_solicitud
quisiera saber tambien si hay algun modelo para esa solicitud,formato_solicitud
quisiera sabes que informacion o datos debo colocar en esa solicitud,formato_solicitud
no se si debo colocar mi dni en la solicitud,formato_solicitud
no se que informacion debo colocar en la solicitud me puedes ayudar,formato_solicitud
"me dijeron que la solicitud debe estar dirigida al decano pero no se que mas debo poner, me puedes ayudar enviandome un formato",formato_solicitud
que modelo puedo seguir para redactar la solicitud,formato_solicitud
en la pagina puedo encontrar un modelo para esta solicitud,formato_solicitud
porfavor quiero que me envies el modelo para la solicitud,formato_solicitud
que debo colocar en la solicitud,formato_solicitud
como debo redactar la solicitud,formato_solicitud
la solicitud debe seguir algun formato o modelo,formato_solicitud
el modelo para la solicitud porfavor,formato_solicitud
dime que formato debe seguir la solicitud,formato_solicitud
¿Cuál es el modelo para la solicitud de <retiro total>[procedimiento]?,formato_solicitud
donde encuentro un modelo para la solicitud de <retiro total>[procedimiento]?,formato_solicitud
Dónde está el modelo de solicitud para el <retiro total>[procedimiento]?,formato_solicitud
una consulta hay algun modelo para la solicitud de <retiro total>[procedimiento],formato_solicitud
una duda porfavor existe algun modelo o formato para la solicitud de <retiro total>[procedimiento],formato_solicitud
existe alguna modelo para la solicitud de <retiro total>[procedimiento],formato_solicitud
donde puedo encontrar un modelo para la solicitud de <retiro total>[procedimiento],formato_solicitud
hay algun formato o modelo para la solicitud de <retiro total>[procedimiento],formato_solicitud
quiero solicitar el <retiro total>[procedimiento] me puedes enviar el modelo para la solicitud,formato_solicitud
quisiera hacer el <retiro total>[procedimiento] y necesito un modelo para la solicitud,formato_solicitud
que informacion debo colocar el la solicitud para el <retiro total>[procedimiento],formato_solicitud
como debo redactar la solicitud del <retiro total>[procedimiento]?,formato_solicitud
hay algun formato especial para el <retiro total>[procedimiento]?,formato_solicitud
debo colocar mi dni en la solicitud de <retiro total>[procedimiento]?,formato_solicitud
quiero solicitar el <retiro total>[procedimiento] me puedes enviar el modelo de la solicitud,formato_solicitud
"este ciclo voy a hacer el <retiro total>[procedimiento] por motivos de fuerza mayor, quisiera el modelo para la solicitud",formato_solicitud
