intent_name,examples,label
ayuda,ayudaa,0
ayuda,ayudaaaa,0
ayuda,ayuda,0
reserva_matricula__formato_solicitud,la solicitud de reserva de matricula es solo una solicitud simpre dirigida al decano?,1
reserva_matricula__formato_solicitud,si tambien puedes decirme si hay algun formato para la solicitud de reserva de matricula ?,1
reserva_matricula__formato_solicitud,hay algun formato para la solicitud de reserva de matricula ?,1
reserva_matricula__formato_solicitud,que formato debe tener la solicitud de reserva de matricula?,1
reserva_matricula__formato_solicitud,puedes decirme donde encuentro un modelo de solicitud para la reserva de matricula ?,1
reserva_matricula__formato_solicitud,tengo un duda cual es el modelo o formato para la solicitud de reserva de matricula,1
reserva_matricula__formato_solicitud,cual es el formato de solicitud para la reserva de matricula ?,1
reserva_matricula__formato_solicitud,¿Cuál es el modelo de solicitud para la reserva de matricula?,1
reserva_matricula__formato_solicitud,quiero solicitar mi reserva de matricula me puedes enviar el modelo para solicitud,1
reserva_matricula__formato_solicitud,puedes decirme si hay algun formato para la solicitud de reserva de matricula,1
reserva_matricula__formato_solicitud,si hay algun formato o modelo para la solicitud de reserva de matricula,1
reserva_matricula__formato_solicitud,me puedes enviar un modelo para la solicitud de reserva de matricula porfavor,1
reserva_matricula__formato_solicitud,que informacion debo colocar en la solicitud para la reserva de matricula?,1
reserva_matricula__formato_solicitud,en donde puedo encontar un modelo para la solicitud de reserva de matricula?,1
reserva_matricula__formato_solicitud,puedes decirme si hay algun modelo para la solicitud de reserva de matricula?,1
reserva_matricula__formato_solicitud,existe algun modelo para la solicitud de reserva de matricula ?,1
reserva_matricula__formato_solicitud,puedes enviarme el modelo para la solicitud de reserva de matricula,1
pago_fechas,cuando es la fecha limite para pagarlo,2
pago_fechas,en que fechas se realiza el pago,2
pago_fechas,esta semana ya puedo realizar el pago?,2
pago_fechas,si hasta que dia lo puedo pagar,2
pago_fechas,aun es posible pagarlo?,2
pago_fechas,que dia puedo realizar el pago?,2
pago_fechas,hasta que fechas puedo pagarlo,2
pago_fechas,cual es la fecha limite para el pago?,2
pago_fechas,esta semana todavia puedo pagarlo,2
pago_fechas,hasta que dia se puede pagar?,2
pago_fechas,hasta que semana lo podria pagar,2
pago_fechas,todavía puedo pagarlo?,2
pago_fechas,cual es la fecha maxima en que se puedria pagar?,2
pago_fechas,hasta cuando tengo para pagarlo,2
pago_fechas,¿Hasta cuando puedo realizar el pago?,2
pago_fechas,ya puedo pagarlo?,2
pago_fechas,aun se puede pagar en estos dias?,2
pago_fechas,cuando es el ultimo dia en que deberia pagarlo?,2
pago_fechas,debo pagarlo hasta cuando,2
retiro_total__formato_solicitud,"voy a solicitar el retiro total, cual es el modelo para la solicitud",3
retiro_total__formato_solicitud,una duda porfavor existe algun modelo o formato para la solicitud de retiro total,3
retiro_total__formato_solicitud,quisiera que me envien el formato para la solicitud de retiro total porfavor,3
retiro_total__formato_solicitud,en que parte puedo encontra el modelo para la solicitud retiro total,3
retiro_total__formato_solicitud,quiero solicitar el retiro total me puedes enviar el modelo para la solicitud,3
retiro_total__formato_solicitud,¿Cuál es el modelo para la solicitud de retiro total?,3
retiro_total__formato_solicitud,debo colocar mi dni en la solicitud de retiro total?,3
retiro_total__formato_solicitud,que informacion necesito colocar en la solicitud de retiro total?,3
retiro_total__formato_solicitud,Dónde está el modelo de solicitud para el retiro total?,3
retiro_total__formato_solicitud,donde puedo encontrar un modelo para la solicitud de retiro total,3
retiro_total__formato_solicitud,donde encuentro un modelo para la solicitud de retiro total?,3
retiro_total__formato_solicitud,hay algun formato o modelo para la solicitud de retiro total,3
retiro_total__formato_solicitud,que informacion debo colocar el la solicitud para el retiro total,3
retiro_total__formato_solicitud,una consulta hay algun modelo para la solicitud de retiro total,3
retiro_total__formato_solicitud,como debo redactar la solicitud del retiro total?,3
retiro_total__formato_solicitud,"hola aeito, un favor necesito el modelo para la solcitud de retiro total me lo pudes enviar porfavor?",3
retiro_total__formato_solicitud,hay algun formato especial para el retiro total?,3
retiro_total__formato_solicitud,"este ciclo voy a hacer el retiro total por motivos de fuerza mayor, quisiera el modelo para la solicitud",3
reserva_matricula__fechas,cual es la fecha para enviar la solicitud de reserva de matricula,4
reserva_matricula__fechas,¿Hasta que dias puedo enviar la solicitud de reserva de matricula ?,4
reserva_matricula__fechas,hasta cuando puedo tramitar la reserva de matricula ?,4
reserva_matricula__fechas,hasta que dias podria enviar la solicitud de reserva de matricula entonces,4
reserva_matricula__fechas,Y hasta cuando podria enviar la solicitud de reserva de matricula ?,4
reserva_matricula__fechas,si donde puedo encontrar las fechas para hacer la reserva de matricula,4
reserva_matricula__fechas,"la matricula ya va ser la siguiente semana pero no podre matricularme, aun puedo enviar mi solicitud de reserva de matricula",4
reserva_matricula__fechas,"este ciclo que esta por comenzar no me voy a matricular, me puedes decir cual es la fecha limite para enviar mi solicitud",4
reserva_matricula__fechas,¿Hasta cuándo tengo tiempo para presentar mi solicitud de reserva de matricula?,4
reserva_matricula__fechas,podria solicitar este semana mi reserva de matricula?,4
reserva_matricula__fechas,puedo presentar mi solicitud de reserva de matricula si el ciclo empieza la proxima semana?,4
reserva_matricula__fechas,hasta cuando puedo enviar la solicitud para reserva de matricula ?,4
reserva_matricula__fechas,hasta que semana puedo solicitar mi reserva de matricula?,4
reserva_matricula__fechas,"la matricula es mañana pero por motivos de fuerza he decido no matricularme, entiendo que debo reservar la matricula todavia  podria hacerlo?",4
reserva_matricula__fechas,esta semana todavia puedo solicitar mi reserva de matricula?,4
reserva_matricula__fechas,todavia puedo enviar mi reserva de matricula?,4
reserva_matricula__fechas,hasta que fecha puedo subir la solicitud de reserva de matricula ?,4
reserva_matricula__fechas,en que fecha puedo pedir mi reserva de matricula?,4
reserva_matricula__fechas,"quiero hacer la reserva de matricula, hasta que dia puedo enviar la solicitud ?",4
confirmar_requerir_mas_ayuda,si,5
confirmar_requerir_mas_ayuda,si por favor,5
confirmar_requerir_mas_ayuda,tengo otra duda,5
confirmar_requerir_mas_ayuda,si tenga una consulta,5
confirmar_requerir_mas_ayuda,otra duda,5
confirmar_requerir_mas_ayuda,si una consulta mas,5
confirmar_requerir_mas_ayuda,si hay algo mas con lo que puedes ayudar,5
confirmar_requerir_mas_ayuda,si me puedes decir,5
confirmar_requerir_mas_ayuda,una mas,5
confirmar_requerir_mas_ayuda,si me puedes ayudar con esto,5
confirmar_requerir_mas_ayuda,hay otra consulta que tengo,5
confirmar_requerir_mas_ayuda,Si tengo otra duda mas,5
confirmar_requerir_mas_ayuda,si algo mas,5
confirmar_requerir_mas_ayuda,si una duda mas,5
confirmar_requerir_mas_ayuda,si tengo otra consulta mas,5
confirmar_requerir_mas_ayuda,Si tengo otra consulta,5
confirmar_requerir_mas_ayuda,si por favor tengo esta otra duda,5
confirmar_requerir_mas_ayuda,una consulta mas por favor,5
confirmar_requerir_mas_ayuda,tengo otra consulta,5
retiro_total__requisitos_documentos_justificacion,y es necesario justificar con documentos el retiro total?,6
retiro_total__requisitos_documentos_justificacion,¿Se requiere documentos para justificar el retiro total?,6
retiro_total__requisitos_documentos_justificacion,se tiene que justificar el retiro total?,6
retiro_total__requisitos_documentos_justificacion,necesito justificar con documentos mi retiro total?,6
retiro_total__requisitos_documentos_justificacion,quiero retirarme de este ciclo es necesario enviar documentacion que justifique mis razones?,6
retiro_total__requisitos_documentos_justificacion,debo justificar la razon del retiro toal?,6
retiro_total__requisitos_documentos_justificacion,puedo solicitar el retiro parcial solo enviando la solicitud?,6
retiro_total__requisitos_documentos_justificacion,Se tiene que justificar con documentos para solicitar el retiro total?,6
retiro_total__requisitos_documentos_justificacion,Debo presentar documentos para justificar los motivos de retiro total?,6
retiro_total__requisitos_documentos_justificacion,es necesario tener algun documento que justique el retiro total?,6
