intent_name,examples,label
despedida,adios,0
despedida,buenas noches,0
despedida,nos vemos luego,0
despedida,que tengas buen dia,0
despedida,chau,0
despedida,hasta luego,0
despedida,nos vemos,0
despedida,te veo luego,0
despedida,hasta luego Aerito,0
despedida,hasta luego que tengas buen dia,0
despedida,adios que tenga lindo dia,0
despedida,nos vemos aerito,0
despedida,Adios aerito,0
despedida,nos vemos pronto,0
despedida,adiós fue un placer hablar contigo,0
despedida,ya me tengo que ir gracias por la ayuda,0
despedida,"ok, chau",0
despedida,"ok, adios",0
despedida,"ok, hasta pronto",0
despedida,bye,0
despedida,"ok, bye",0
despedida,"ok, buenas noches",0
despedida,gracias por la ayuda hasta luego,0
despedida,hasta pronto,0
despedida,adios,0
despedida,chau nos vemos,0
despedida,nos vemos chau,0
despedida,"OK HASTA LUEGO,",0
despedida,no vemos pronto,0
despedida,cuidate nos vemos,0
despedida,hasta luego,0
despedida,que tengas buen dia hasta luego,0
saludo,buenas,1
saludo,Hola,1
saludo,buenos dias,1
saludo,buenas noches,1
saludo,hola que tal amigo,1
saludo,que tal,1
saludo,buenas tardes,1
saludo,Buenas tardes,1
saludo,Hola Aerito,1
saludo,Buenos dias Aerito,1
saludo,Buenos tardes Aerito,1
saludo,Buenos noches Aerito,1
saludo,Oye,1
saludo,hola que tal,1
saludo,hola Aerito,1
saludo,hola amigo,1
saludo,hola que tal Aerito,1
saludo,Hi,1
saludo,Holis,1
saludo,Holaeeeeeeeeeeee,1
saludo,buen díaq,1
saludo,oye aerito,1
saludo,Hola de nuevo,1
saludo,como vas,1
saludo,hi,1
saludo,oye bot,1
saludo,que tal como andas,1
saludo,hola que tal,1
saludo,que tal aerito,1
saludo,holas,1
saludo,olis,1
saludo,que tal,1
saludo,que tal amigo,1
saludo,que onda,1
saludo,como vas amigo,1
denegar_mas_ayuda,no nada mas gracias,2
denegar_mas_ayuda,ninguna duda mas,2
denegar_mas_ayuda,No eso es todo gracias,2
denegar_mas_ayuda,No nada mas,2
denegar_mas_ayuda,No nada mas gracias,2
denegar_mas_ayuda,eso es todo gracias,2
denegar_mas_ayuda,no gracias es todo,2
denegar_mas_ayuda,no tengo mas dudas,2
denegar_mas_ayuda,"eso es todo, gracias",2
denegar_mas_ayuda,es todo gracias,2
denegar_mas_ayuda,No. Gracias,2
denegar_mas_ayuda,No,2
denegar_mas_ayuda,"No, eso seria todo gracias",2
denegar_mas_ayuda,No gracias,2
denegar_mas_ayuda,"Por ahora eso es todo, gracias",2
denegar_mas_ayuda,"no, gracias",2
denegar_mas_ayuda,"No eso seria todo, muchas gracias",2
denegar_mas_ayuda,No muchas gracias,2
denegar_mas_ayuda,no nada mas,2
denegar_mas_ayuda,No eso seria todo gracias,2
denegar_mas_ayuda,nada mas,2
denegar_mas_ayuda,No eso es todo,2
denegar_mas_ayuda,Eso es todo,2
denegar_mas_ayuda,eso es todo por ahora aerito gracias,2
denegar_mas_ayuda,no ya no tengo mas consultas,2
denegar_mas_ayuda,no por ahora,2
denegar_mas_ayuda,nope,2
denegar_mas_ayuda,no deseo nada mas,2
denegar_mas_ayuda,no eso fue lo ultimo,2
denegar_mas_ayuda,no es todo que tenga buen dia,2
denegar_mas_ayuda,no gracias por la ayuda,2
denegar_mas_ayuda,no eso es todo gracias por la ayuda,2
denegar_mas_ayuda,"no eso fue todo, buenas noches",2
denegar_mas_ayuda,por el momento es todo gracias,2
denegar_mas_ayuda,eso fue todo gracias,2
denegar_mas_ayuda,no nada mas eso es todo,2
denegar_mas_ayuda,no por el momento,2
denegar_mas_ayuda,no es todo lo que queria,2
denegar_mas_ayuda,no ya no tengo mas dudas,2
confirmar_requerir_mas_ayuda,Si tengo otra consulta,3
confirmar_requerir_mas_ayuda,Si claro,3
confirmar_requerir_mas_ayuda,Si tengo otra duda mas,3
confirmar_requerir_mas_ayuda,si una duda mas,3
confirmar_requerir_mas_ayuda,si,3
confirmar_requerir_mas_ayuda,si tenga una consulta,3
confirmar_requerir_mas_ayuda,si una mas,3
confirmar_requerir_mas_ayuda,si tengo otra consulta mas,3
confirmar_requerir_mas_ayuda,si una consulta mas,3
confirmar_requerir_mas_ayuda,tengo otra duda,3
confirmar_requerir_mas_ayuda,tengo otra consulta,3
confirmar_requerir_mas_ayuda,si por favor,3
confirmar_requerir_mas_ayuda,si algo mas,3
confirmar_requerir_mas_ayuda,si otra consulta,3
confirmar_requerir_mas_ayuda,una mas,3
confirmar_requerir_mas_ayuda,otra consulta,3
confirmar_requerir_mas_ayuda,otra duda,3
confirmar_requerir_mas_ayuda,si me puedes decir,3
confirmar_requerir_mas_ayuda,si me puedes ayudar con esto,3
confirmar_requerir_mas_ayuda,si por favor tengo esta otra duda,3
confirmar_requerir_mas_ayuda,si hay algo mas con lo que puedes ayudar,3
confirmar_requerir_mas_ayuda,una duda mas,3
confirmar_requerir_mas_ayuda,hay otra consulta que tengo,3
confirmar_requerir_mas_ayuda,una consulta mas por favor,3
confirmar_requerir_mas_ayuda,una ultima consulta,3
confirmar_requerir_mas_ayuda,una consulta mas porfavor,3
confirmar_requerir_mas_ayuda,si una mas porfavor,3
confirmar_requerir_mas_ayuda,si otra mas,3
confirmar_requerir_mas_ayuda,otra mas porfavor,3
confirmar_requerir_mas_ayuda,si una duda mas porfa,3
confirmar_requerir_mas_ayuda,si otro duda mas,3
formato_solicitud,¿Cuál es el modelo para la solicitud?,4
formato_solicitud,donde encuentro un modelo para la solicitud?,4
formato_solicitud,Dónde está el modelo de solicitud?,4
formato_solicitud,una consulta hay algun modelo para la solicitud,4
formato_solicitud,una duda porfavor existe algun modelo o formato para la solicitud,4
formato_solicitud,existe alguna modelo para la solicitud,4
formato_solicitud,donde puedo encontrar un modelo,4
formato_solicitud,hay algun formato o modelo,4
formato_solicitud,si hay algun formato para la solicitud que debo enviar,4
formato_solicitud,cual es el formato para la solicitud,4
formato_solicitud,que formato debe tener la solicitud,4
formato_solicitud,necesito un modelo para esa solicitud,4
formato_solicitud,que debo poner en la solicitud,4
formato_solicitud,necesito un modelo para la solicitud que debo enviar a mesa de partes,4
formato_solicitud,que datos debo colocar en la solicitud,4
formato_solicitud,que informacion debe ir en la solicitud,4
formato_solicitud,la solicitud debe estar dirigida al decano?,4
formato_solicitud,debo colocar mi codigo y mi dni en la solicitud,4
formato_solicitud,hay algun modelo a seguir para redactar la solicitud que debo enviar,4
formato_solicitud,que formato debo seguir para redactar la solicitud,4
formato_solicitud,a quien le puedo pedir un modelo para la solicitud,4
formato_solicitud,la solicitud tiene un formato especial?,4
formato_solicitud,que modelo debe seguir la solicitud?,4
formato_solicitud,mi otra duda es que datos debo colocar en la solicitud o si hay algun formato me ayudaria,4
formato_solicitud,porfavor enviame tambien el modelo para la solicitud,4
